pid,est_vis,vis_log,country,name_2,cellarea,coral_prop,coral_prop25,coral_prop75,forest_prop,beach,wildlife,ruins,roads,develop,pa_min_dist,mangrove_prop,temp,hotdays,precip
0,0,0,Guatemala,MPA Río Sarstun,990519.0760554299,0,0,0,0.018148345962761023,0,0,0,0,0,52733.792985790984,0,26.10437774658203,8.722275733947754,3147.1640625
1,21.000830392516875,3.09108019776039,Guatemala,MPA Río Sarstun,983546.5993151646,0,0,0,0.011880051109795205,0,0,0,1,0,49936.45761760524,0,26.10437774658203,8.722275733947754,3147.1640625
2,28.806190936366846,3.3947161214769226,Guatemala,MPA Río Sarstun,10398767.10665404,0,0,0,0.038636303528564925,0,0,0,1,1,47927.394995364324,0,26.10437774658203,8.722275733947754,3147.1640625
3,0,0,Guatemala,MPA Río Sarstun,11670730.806344314,0,0,0,0.07478096685301652,0,0,0,0,0,44269.01479073575,0,26.10437774658203,8.722275733947754,3147.1640625
4,0,0,Guatemala,MPA Río Sarstun,4435090.172495529,0,0,0,0.2279921878449673,0,0,0,0,0,42942.75034541089,0,26.10437774658203,8.722275733947754,3147.1640625
5,0,0,Guatemala,MPA Río Sarstun,10439553.924737748,0,0,0,0.10564100366070117,0,0,0,0,0,40485.23291874553,0,26.10437774658203,8.722275733947754,3147.1640625
6,0,0,Guatemala,MPA Río Sarstun,16592637.4206765,0,0,0,0.13753624894698552,0,0,0,0,1,37719.62151876749,0,26.10437774658203,8.722275733947754,3147.1640625
7,0,0,Guatemala,MPA Río Sarstun,13207848.955789585,0,0,0,0.3310706250482435,0,0,0,0,0,35104.99996912339,0,26.585664749145508,10.336894035339355,3101.247314453125
8,0.867262282238276,0.624473337948375,Guatemala,MPA Río Sarstun,13087279.98810886,0,0,0,0.4657772683430313,0,0,0,0,0,35849.568941651414,0,26.10437774658203,8.722275733947754,3101.247314453125
9,0.867262282238276,0.624473337948375,Guatemala,MPA Río Sarstun,21650635.09461072,0,0,0,0.5269013616738905,0,0,0,0,1,32737.132553536456,0,26.585664749145508,10.336894035339355,3101.247314453125
10,0.867262282238276,0.624473337948375,Guatemala,MPA Río Sarstun,17348780.455358606,0,0,0,0.48228524683241564,0,0,0,0,1,30104.999969124117,0,26.585664749145508,10.336894035339355,3101.247314453125
11,0,0,Guatemala,MPA Río Sarstun,14315854.516765967,0,0,0,0.8661125396662978,0,0,0,0,0,30970.011198108714,0,26.585664749145508,10.336894035339355,3101.247314453125
12,0,0,Guatemala,MPA Río Sarstun,12939825.486374643,0,0,0,0.2989604518829585,0,0,0,0,1,27750.21058115033,0,26.178407669067383,8.65886116027832,2953.671630859375
13,0,0,Guatemala,MPA Río Sarstun,21650635.0946106,0,0,0,0.23966290269015017,0,0,0,0,1,27760.941052792743,0,26.585664749145508,10.336894035339355,3101.247314453125
14,0,0,Guatemala,MPA Río Sarstun,2692516.798148014,0,0,0,0.23133679316173086,0,0,0,0,0,26107.516960137087,0,26.178407669067383,8.65886116027832,2953.671630859375
15,0,0,Guatemala,MPA Río Sarstun,21650635.09461102,0,0,0,0.40393556957822907,0,0,0,0,1,25104.99996912427,0,26.585664749145508,10.336894035339355,3101.247314453125
16,0,0,Guatemala,MPA Río Sarstun,9745027.895827841,0,0,0,0.7905299100647929,0,1,0,0,0,26136.021003966514,0.01463411968510334,26.585664749145508,10.336894035339355,3101.247314453125
17,0,0,Guatemala,MPA Río Sarstun,21650635.094611198,0,0,0,0.5324227831285452,0,0,0,0,0,22782.102352657395,0,26.178407669067383,8.65886116027832,2953.671630859375
18,0,0,Guatemala,MPA Río Sarstun,21650635.0946106,0,0,0,0.5554217867818325,0,1,0,0,1,22795.171603772986,0.022354964167984565,26.585664749145508,10.336894035339355,3101.247314453125
19,0,0,Guatemala,MPA Río Sarstun,5634687.517463064,0,0,0,0.23416722913797772,0,0,0,0,1,21722.262947645035,0,26.178407669067383,8.65886116027832,2953.671630859375
20,0,0,Guatemala,MPA Río Sarstun,21650635.094611138,0,0,0,0.5080953171703924,0,0,0,0,1,20104.999969123644,0,26.585664749145508,10.336894035339355,3101.247314453125
21,16.664518981325497,2.8715580503993507,Guatemala,MPA Río Sarstun,4124468.133524161,0,0,0,0.9098261711973191,0,1,0,0,0,21507.741379970226,0.1858571803253121,26.585664749145508,10.336894035339355,3101.247314453125
22,0,0,Guatemala,MPA Río Sarstun,19087629.4468056,0,0,0,0.3518006511315744,0,0,0,0,0,17831.83075053496,0,26.178407669067383,8.65886116027832,2953.671630859375
23,33.32903796265099,3.5359915838509304,Guatemala,MPA Río Sarstun,21596239.233967572,0,0,0,0.8726674474171602,0,1,0,0,1,17848.52511425342,0.011826995480827782,26.585664749145508,10.336894035339355,3101.247314453125
24,17.531781263563772,2.9194871643098987,Guatemala,MPA Río Sarstun,21110857.39850425,0,0,0,0.2881963922253629,0,0,0,0,1,15104.99996912375,0,26.585664749145508,10.336894035339355,3101.247314453125
25,54.329868355167875,4.013312877640386,Guatemala,MPA Río Sarstun,7077597.284261376,0,0,0,0.3936821683562172,0,1,0,0,1,16762.803898432743,0.021062808492357712,26.585664749145508,10.336894035339355,3101.247314453125
26,0,0,Guatemala,MPA Río Sarstun,2559021.3211127874,0,0,0,0.36774152709887326,0,0,0,0,0,14568.231050931392,0,26.178407669067383,8.65886116027832,2953.671630859375
27,219.73472465599903,5.396961639608495,Guatemala,MPA Río Sarstun,21629953.61930254,0,0,0,0.49931455893844073,1,1,0,0,1,12942.945919028023,0.011129385595453784,26.585664749145508,10.336894035339355,3101.247314453125
28,16.664518981325497,2.8715580503993507,Guatemala,MPA Río Sarstun,15797985.258514903,0,0,0,0.39734927443077295,0,0,0,0,1,10104.9999691233,0,26.585664749145508,10.336894035339355,3101.247314453125
29,0,0,Guatemala,MPA Río Sarstun,1338783.2280721534,0,0,0,0,0,1,0,0,0,13104.874794522455,0,26.585664749145508,10.336894035339355,3101.247314453125
30,16.664518981325497,2.8715580503993507,Guatemala,MPA Río Sarstun,1851515.5286058374,0,0,0,0.9174963457982159,0,0,0,0,1,8116.291550534449,0,26.303125381469727,8.53183364868164,2808.670654296875
31,134.18341412913676,4.906632479523839,Guatemala,MPA Río Sarstun,21134523.947759807,0,0,0,0.6631003453858628,1,1,0,0,0,8152.904351927832,0.011103573440141333,26.817380905151367,11.072233200073242,2993.525390625
32,0,0,Mexico,Reserva Estatal de Dzilam,528587.6717604809,0,0,0,0,0,1,0,0,0,1194.1921249750412,0,26.21332550048828,29.37578010559082,898.6507568359375
33,116.65163286557299,4.767727994087454,Guatemala,MPA Río Sarstun,21650635.094611287,0,0,0,0.5987628694785947,0,0,0,0,1,5104.999969123671,0,26.817380905151367,11.072233200073242,2993.525390625
