pid,country,name_2,coral_prop,forest,beach,mangrove,wildlife,ruins,roads,develop,pa_min_dist
148,Belize,Corozal Bay,0,0,0,0,0,0,0,0,3876.8931452718184
149,Mexico,Reserva Estatal de Dzilam,0,1,0,0,1,0,0,0,6130.639073703999
150,Mexico,Reserva Estatal de Dzilam,0,0,1,1,1,0,0,0,2300.0873424139504
151,Honduras,Omoa,0,1,0,0,0,0,0,0,32562.189737580957
152,Honduras,Cuyamel,0,1,0,0,0,0,0,0,31749.110812085124
153,Honduras,Cuyamel,0,0,0,0,0,0,0,0,28221.38033467256
154,Belize,Sapodilla Cayes,0.2225201072386059,0,0,0,1,0,0,0,43859.61649737281
155,Belize,Laughing Bird Caye,0.971954425942156,0,0,1,0,0,0,0,16949.9928521101
156,Belize,South Water Caye,1,0,0,0,0,0,0,0,13250.959173028594
157,Belize,South Water Caye,0.9977034957897423,0,0,1,0,0,0,0,14808.64590187697
158,Belize,South Water Caye,1,0,0,0,0,0,0,0,20322.4500014269
159,Belize,South Water Caye,0,0,0,0,0,0,0,0,24314.90685184495
160,Belize,Corozal Bay,0,1,0,1,0,0,0,0,16380.429216608938
161,Belize,Corozal Bay,0,0,0,0,0,0,0,0,9732.70072470748
162,Mexico,Reserva Estatal de Dzilam,0,1,0,1,1,0,0,0,1130.6390737046047
163,Mexico,Ría Lagartos,0,0,0,1,1,0,0,0,1205.2855977927625
164,Honduras,Omoa,0,1,0,0,0,0,0,0,31335.56385963433
165,Honduras,Cuyamel,0.6422198429693077,1,0,0,0,0,0,0,26916.945230121735
166,Belize,Laughing Bird Caye,1,0,0,0,0,0,0,0,19564.424110418237
167,Belize,Laughing Bird Caye,0.9772727272727273,0,0,0,0,0,0,0,17326.530525180515
168,Belize,South Water Caye,0.9986595174262735,0,0,1,0,0,0,0,15637.870824347188
169,Belize,South Water Caye,1,0,0,1,1,0,0,0,19016.014088312393
170,Belize,South Water Caye,0.9742074153680816,0,0,0,0,0,0,0,25115.710804717488
171,Belize,South Water Caye,0,0,0,0,0,0,0,0,18971.088994718833
172,Belize,Hol Chan,0,0,0,0,0,0,0,0,22626.55506457889
173,Belize,Corozal Bay,0,0,0,1,0,0,0,0,13857.802529500335
174,Mexico,Reserva Estatal de Dzilam,0,0,0,1,1,0,0,1,164.7762431795763
175,Mexico,Ría Lagartos,0,0,1,1,1,0,0,1,0
176,Honduras,Omoa,0,1,0,0,0,0,0,0,26856.005751126715
