pid,MPA,beach,mangrove,wildlife,forest,ruins,roads,develop,cellarea,prop_coral,pa_min_dist,country
1343,NA,0,0,0,0,0,1,1,21650635.094612002,0,31895.751637033114,Honduras
1344,NA,0,0,0,0,0,1,1,21650635.094616413,0,27565.55355178953,Honduras
1345,NA,0,0,0,0,0,0,0,21650635.094607353,0,23502.776702805288,Honduras
1346,NA,0,0,0,0,0,0,0,21650635.09460807,0,19872.1232601667,Honduras
1347,NA,0,0,0,0,0,0,0,21650635.094611764,0,16951.485204061588,Honduras
1348,NA,0,0,0,0,0,0,0,21650635.094609976,0,14551.885067605812,Honduras
1349,NA,0,0,0,0,0,0,0,21650635.094610453,0,13389.478299997361,Honduras
1350,NA,0,0,0,0,0,0,0,21650635.094613075,0,14028.503101592934,Honduras
1351,NA,0,0,0,0,0,0,1,21650635.094613314,0,16203.562216592078,Honduras
1352,NA,0,0,0,0,0,0,1,21650635.09460652,0,18907.806152322424,Honduras
1353,NA,0,0,0,0,0,0,0,21650635.094611645,0,22346.429694664293,Honduras
1354,NA,0,0,0,0,0,0,0,21650635.09461415,0,25890.05119390458,Honduras
1355,NA,0,0,0,0,0,0,0,21650635.09461069,0,29853.418255662033,Honduras
1356,NA,0,0,0,0,0,0,0,21650635.09461379,0,34090.444588944716,Honduras
1357,NA,0,0,0,0,0,0,0,21650635.09461236,0,38510.91070068872,Honduras
1358,NA,0,0,0,0,0,0,1,21650635.09461212,0,43058.356607292946,Honduras
1359,NA,0,0,0,0,0,1,0,21650635.094614744,0,47696.476855689485,Honduras
1360,NA,0,0,0,0,0,1,0,21650635.09460354,0,52401.199749337364,Honduras
1361,NA,0,0,0,0,0,1,1,21650635.094614506,0,51433.297151494684,Honduras
1362,NA,0,0,0,0,0,1,1,21650635.094608307,0,48916.2989618381,Honduras
1363,NA,0,0,0,0,0,1,1,21650635.09461987,0,46628.60352786491,Honduras
1364,NA,0,0,0,0,0,1,1,21650635.09460461,0,44784.473088266284,Honduras
1365,NA,0,0,0,0,0,1,1,21650635.09461379,0,43440.43499584752,Honduras
1366,NA,0,0,0,0,0,1,1,21650635.094613314,0,42643.80090310051,Honduras
1367,NA,0,0,0,0,0,0,1,21650635.094610572,0,42425.41830433835,Honduras
1368,NA,0,0,0,0,0,0,0,21650635.09460485,0,42794.14073366678,Honduras
1369,NA,0,0,0,0,0,0,0,21650635.094615698,0,43735.12140108602,Honduras
1370,NA,0,0,0,0,0,0,1,21650635.094607115,0,45212.644324376306,Honduras
1371,NA,0,0,0,0,0,0,1,21650635.09461367,0,47176.32424890069,Honduras
1372,NA,0,0,0,0,0,0,0,21650635.094613194,0,49558.39809195904,Honduras
1373,NA,0,0,0,0,0,1,1,21650635.0946095,0,52115.54515743833,Honduras
1374,NA,0,0,0,0,0,0,1,21650635.094617844,0,51696.10433628401,Guatemala
1375,NA,0,0,0,0,0,0,1,21650635.094606876,0,47132.1249664889,Guatemala
1376,NA,0,0,0,0,0,0,1,21650635.0946126,0,42665.9958768736,Guatemala
1377,NA,0,0,0,0,0,1,1,21650635.09460956,0,38331.934525591714,Guatemala
1378,NA,0,0,0,0,0,1,1,21650635.094613075,0,34180.21657015926,Guatemala
1379,NA,0,0,0,0,0,1,1,21650635.094609976,0,30285.92420732358,Guatemala
1380,NA,0,0,0,0,0,1,0,21650635.094610512,0,26761.674189043784,Guatemala
1381,NA,0,0,0,0,0,0,1,21650635.09461093,0,23772.61461659755,Guatemala
1382,NA,0,0,0,0,0,0,1,21650635.09461248,0,21266.431789871374,Guatemala
1383,NA,0,0,0,0,0,0,1,21650635.0946092,0,18110.545732729683,Guatemala
1384,NA,0,0,0,0,0,0,1,21650635.094609916,0,13447.370009530614,Guatemala
1385,NA,0,0,0,1,0,0,1,21650635.094613194,0,9147.221086708012,Guatemala
