pid,country,name_2,cellarea,coral_prop,coral_prop25,coral_prop75,forest_prop,beach,wildlife,ruins,roads,develop,pa_min_dist,prop_mangrove_lg,prop_mangrove_deg_lg,prop_mangrove_deg_sm,prop_mangrove_sm
5502,Mexico,NA,21650635.094611347,0,0,0,0,0,0,0,0,0,53932.05879115185,0,0,0,0
5503,Honduras,NA,21650635.09461105,0,0,0,0.8047575556293896,0,0,0,0,0,47524.70881941324,0,0,0,0
5504,Honduras,NA,21650635.094610572,0,0,0,0.7603370973099093,0,0,0,0,0,40566.47508883328,0,0,0,0
5505,Honduras,NA,21650635.094611645,0,0,0,0.5433825971438117,0,0,0,0,0,34352.085531529585,0,0,0,0
5506,Honduras,NA,21650635.094610572,0,0,0,0.11902191962803767,0,0,0,0,0,29355.083332370818,0,0,0,0
5507,Honduras,NA,21650635.094610572,0,0,0,0.39123214878780155,0,0,0,0,0,26332.034758734662,0,0,0,0
5508,Honduras,NA,21650635.09461105,0.06683825971438313,0.06683825971438313,0.06683825971438313,0.2220192627034292,1,0,0,0,0,25777.49947644936,0.044775621007486235,0,0,0.044775621007486235
5509,Honduras,NA,21650635.094610572,0,0,0,0,0,0,0,0,0,27315.46478358509,0,0,0,0
5510,Honduras,NA,21650635.094611645,0.06418133510461707,0.06418133510461707,0.06418133510461707,0,0,0,0,0,0,31269.629889527492,0,0,0,0
5511,Honduras,NA,21650635.094610572,0,0,0,0,0,0,0,0,0,36870.650801319935,0,0,0,0
5512,Honduras,NA,21650635.094611645,0,0,0,0,0,0,0,0,0,43486.77991755289,0,0,0,0
5513,Honduras,NA,21650635.094610572,0,0,0,0,0,0,0,0,0,50722.33398299496,0,0,0,0
5514,Honduras,NA,21650635.094610572,0,0,0,0,0,0,0,0,0,58228.06560290409,0,0,0,0
5515,Honduras,NA,21650635.09461105,0,0,0,0,0,0,0,0,0,65933.0172291617,0,0,0,0
5516,Honduras,NA,21650635.094610572,0,0,0,0,0,0,0,0,0,69227.78648413064,0,0,0,0
5517,Belize,NA,21650635.094610572,0,0,0,0,0,0,0,0,0,74585.5489407567,0,0,0,0
5518,Mexico,NA,21650635.094610572,0,0,0,0,0,0,0,0,0,70410.89069041007,0,0,0,0
5519,Mexico,NA,21650635.09461105,0,0,0,0,0,0,0,0,0,67099.79839641647,0,0,0,0
5520,Mexico,NA,21650635.094610572,0,0,0,0,0,0,0,0,0,64784.81582795899,0,0,0,0
5521,Mexico,NA,21650635.094611645,0,0,0,0,0,0,0,0,0,63574.85178028726,0,0,0,0
5522,Mexico,NA,21650635.094610572,0,0,0,0,0,0,0,0,0,63415.72930722661,0,0,0,0
5523,Mexico,NA,21650635.094610572,0,0,0,0,0,0,0,0,0,61373.2811219216,0,0,0,0
5524,Mexico,NA,21650635.09461105,0,0,0,0,0,0,0,0,0,56412.65794284862,0,0,0,0
5525,Mexico,NA,21650635.094611645,0,0,0,0,0,0,0,0,0,52422.28835794165,0,0,0,0
5526,Mexico,NA,21650635.094611168,0.007140484888741513,0.007140484888741513,0.007140484888741513,0,0,0,0,0,0,49636.72689843182,0,0,0,0
5527,Mexico,NA,21650635.094610572,0.31567585519762764,0.31567585519762764,0.31567585519762764,0,0,0,0,0,0,48265.028723660675,0,0,0,0
5528,Mexico,NA,21650635.09461105,0,0,0,0,0,0,0,0,0,48200.81491046992,0,0,0,0
5529,Mexico,NA,21650635.094610572,0,0,0,0,0,0,0,0,0,49386.50522703217,0,0,0,0
5530,Mexico,NA,21650635.094611645,0,0,0,0,0,0,0,0,0,52007.06912570584,0,0,0,0
5531,Mexico,NA,21650635.094611168,0,0,0,0,0,0,0,0,0,55860.930707895976,0,0,0,0
5532,Mexico,NA,21650635.094611168,0,0,0,0,0,0,0,0,0,60713.68807821395,0,0,0,0
5533,Mexico,NA,21650635.094609976,0,0,0,0,0,0,0,0,0,66346.51656692379,0,0,0,0
5534,Mexico,NA,21650635.094609976,0,0,0,0,0,0,0,0,0,65483.77729046189,0,0,0,0
5535,Mexico,NA,21650635.094611168,0,0,0,0,0,0,0,0,0,57740.0788627285,0,0,0,0
5536,Mexico,NA,21650635.094611168,0,0,0,0,0,0,0,0,0,50219.28391612616,0,0,0,0
5537,Mexico,NA,21650635.094609976,0,0,0,0,0,0,0,0,0,42927.60603282052,0,0,0,0
5538,Mexico,NA,21650635.094609976,0,0,0,0,0,0,0,0,0,36243.219759787135,0,0,0,0
5539,Mexico,NA,21650635.09461212,0,0,0,0,0,0,0,0,0,30567.345278965324,0,0,0,0
5540,Mexico,NA,21650635.094611168,0,0,0,0,0,0,0,0,0,26554.73999591429,0,0,0,0
5541,Mexico,NA,21650635.094611168,0,0,0,0,0,0,0,0,0,25018.909550535078,0,0,0,0
5542,Mexico,NA,21650635.094609976,0,0,0,0,0,0,0,0,0,25621.740397480527,0,0,0,0
5543,Mexico,NA,21650635.094609976,0,0,0,0,0,0,0,0,0,28762.21827055659,0,0,0,0
5544,Mexico,NA,21650635.094611168,0,0,0,0,0,0,0,0,0,32537.68205857522,0,0,0,0
5545,Mexico,NA,21650635.094611168,0,0,0,0,0,0,0,0,0,25230.822560779394,0,0,0,0
